subject,context,objective_number,page,objective,top_confidence,top_score,top_resource,top_resource_path
Economics,SECTION 5: THE FINANCIAL SECTOR,4,28,"explain the concepts ""demand for money"" and ""money supply"";",high,12,Notes\Caribbean AI\S05_Obj2_Role of the Financial Sector.md,Economics\Notes\Caribbean AI\S05_Obj2_Role of the Financial Sector.md
Economics,SECTION 5: THE FINANCIAL SECTOR,5,28,describe the role of the Central Bank;,high,17,Notes\Caribbean AI\S05_Obj2_Role of the Financial Sector.md,Economics\Notes\Caribbean AI\S05_Obj2_Role of the Financial Sector.md
Economics,SECTION 5: THE FINANCIAL SECTOR,6,28,"describe the role of financial institutions and arrangements other than the Central Bank; and,",high,21,Notes\Caribbean AI\S05_Obj6_Other Financial Institutions.md,Economics\Notes\Caribbean AI\S05_Obj6_Other Financial Institutions.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,1,30,discuss the role of government in stabilising the economy;,high,15,Notes\Caribbean AI\S06_Obj1-2_Government Role and Core Macroeconomic Concepts.md,Economics\Notes\Caribbean AI\S06_Obj1-2_Government Role and Core Macroeconomic Concepts.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,2,30,"explain the concepts, principles and approaches associated with economic policies and goals;",high,16,Practice Questions\Kerwin Springer\S08_Obj3_Economic Concepts Principles and Approaches - Kerwin Springer MCQ Practice.md,Economics\Practice Questions\Kerwin Springer\S08_Obj3_Economic Concepts Principles and Approaches - Kerwin Springer MCQ Practice.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,3,31,discuss measures used to correct macro-economic problems in an economy;,high,12,Notes\Caribbean AI\S01_Obj3-4_The Economy and Economic Agents.md,Economics\Notes\Caribbean AI\S01_Obj3-4_The Economy and Economic Agents.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,4,31,use diagrams to describe the concept of the circular flow of income;,high,17,Notes\Caribbean AI\S06_Obj4_Circular Flow of Income.md,Economics\Notes\Caribbean AI\S06_Obj4_Circular Flow of Income.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,5,31,"discuss the differences among Gross Domestic Product (GDP), Gross National Product (GNP), and National Income (NI);",high,14,Notes\Caribbean AI\S06_Obj5-7_GDP GNP and National Income.md,Economics\Notes\Caribbean AI\S06_Obj5-7_GDP GNP and National Income.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,6,31,calculate Gross Domestic Product (GDP) and Gross National Product (GNP); National Income(NI);,high,15,Notes\Caribbean AI\S06_Obj5-7_GDP GNP and National Income.md,Economics\Notes\Caribbean AI\S06_Obj5-7_GDP GNP and National Income.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,7,31,interpret Gross Domestic Product (GDP) and Gross National Product (GNP); National Income(NI);,high,15,Notes\Caribbean AI\S06_Obj5-7_GDP GNP and National Income.md,Economics\Notes\Caribbean AI\S06_Obj5-7_GDP GNP and National Income.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,8,31,"explain the differences among nominal output, real output and potential output;",high,21,Notes\Supplemental Web Sources\S06_Obj8_Nominal Real and Potential Output - Supplemental Sources.md,Economics\Notes\Supplemental Web Sources\S06_Obj8_Nominal Real and Potential Output - Supplemental Sources.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,9,32,explain the difference between economic growth and economic development;,high,13,Notes\Caribbean AI\S06_Obj9_Growth Versus Development.md,Economics\Notes\Caribbean AI\S06_Obj9_Growth Versus Development.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,10,32,explain the difference between inflation and recession;,high,12,Notes\Caribbean AI\S06_Obj10_Inflation and Recession Defined.md,Economics\Notes\Caribbean AI\S06_Obj10_Inflation and Recession Defined.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,11,32,"discuss the main causes, consequences, and solutions associated with inflation and recession in an economy;",high,22,Notes\Caribbean AI\S06_Obj11_Causes Consequences and Solutions.md,Economics\Notes\Caribbean AI\S06_Obj11_Causes Consequences and Solutions.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,12,32,explain the different types of unemployment;,medium,8,Notes\Caribbean AI\S06_Obj13_Unemployment Causes Consequences and Solutions.md,Economics\Notes\Caribbean AI\S06_Obj13_Unemployment Causes Consequences and Solutions.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,13,32,"discuss the causes and consequences of, and solutions to the different types of unemployment; and,",high,23,Notes\Caribbean AI\S06_Obj13_Unemployment Causes Consequences and Solutions.md,Economics\Notes\Caribbean AI\S06_Obj13_Unemployment Causes Consequences and Solutions.md
Economics,SECTION 6: ECONOMIC MANAGEMENT: POLICIES AND GOALS,14,32,explain the role of trade unions in an economy.,high,17,Notes\Caribbean AI\S06_Obj14_Role of Trade Unions.md,Economics\Notes\Caribbean AI\S06_Obj14_Role of Trade Unions.md
Economics,SECTION 7: INTERNATIONAL TRADE,1,36,discuss the meaning of concepts principles and approaches associated with international trade;,high,15,Notes\Caribbean AI\S07_Obj1_Core Concepts of International Trade.md,Economics\Notes\Caribbean AI\S07_Obj1_Core Concepts of International Trade.md
Economics,SECTION 7: INTERNATIONAL TRADE,2,36,explain the rationale for international trade;,high,15,Notes\Caribbean AI\S07_Obj2_Rationale for International Trade.md,Economics\Notes\Caribbean AI\S07_Obj2_Rationale for International Trade.md
Economics,SECTION 7: INTERNATIONAL TRADE,3,36,"discuss the concepts, principles and approaches associated with balance of payments;",high,17,Notes\Caribbean AI\S07_Obj1_Core Concepts of International Trade.md,Economics\Notes\Caribbean AI\S07_Obj1_Core Concepts of International Trade.md
Economics,SECTION 7: INTERNATIONAL TRADE,5,37,interpret balance of payments surpluses and deficits;,high,14,Notes\Caribbean AI\S07_Obj3_Balance of Payments Structure.md,Economics\Notes\Caribbean AI\S07_Obj3_Balance of Payments Structure.md
Economics,SECTION 7: INTERNATIONAL TRADE,6,37,"discuss the consequences of and remedies for balance of payments surpluses and deficits; and,",high,24,Notes\Caribbean AI\S07_Obj6_Balance of Payments Consequences and Remedies.md,Economics\Notes\Caribbean AI\S07_Obj6_Balance of Payments Consequences and Remedies.md
Economics,SECTION 7: INTERNATIONAL TRADE,7,37,"discuss the concepts, principles and approaches associated with exchange rates.",high,17,Notes\Caribbean AI\S07_Obj1_Core Concepts of International Trade.md,Economics\Notes\Caribbean AI\S07_Obj1_Core Concepts of International Trade.md
Economics,SECTION 8: CARIBBEAN ECONOMIES IN A GLOBAL ENVIRONMENT,1,39,describe the main characteristics of Caribbean economies;,high,12,Notes\Caribbean AI\S08_Obj1_Characteristics of Caribbean Economies.md,Economics\Notes\Caribbean AI\S08_Obj1_Characteristics of Caribbean Economies.md
Economics,SECTION 8: CARIBBEAN ECONOMIES IN A GLOBAL ENVIRONMENT,2,39,discuss the major economic challenges and possible solutions associated with Caribbean economies;,high,18,Notes\Caribbean AI\S08_Obj2_Major Economic Challenges and Globalisation.md,Economics\Notes\Caribbean AI\S08_Obj2_Major Economic Challenges and Globalisation.md
Economics,SECTION 8: CARIBBEAN ECONOMIES IN A GLOBAL ENVIRONMENT,3,39,"discuss the concepts, principles and approaches associated with Caribbean economies;",high,12,Practice Questions\Kerwin Springer\S08_Obj3_Economic Concepts Principles and Approaches - Kerwin Springer MCQ Practice.md,Economics\Practice Questions\Kerwin Springer\S08_Obj3_Economic Concepts Principles and Approaches - Kerwin Springer MCQ Practice.md
Economics,SECTION 8: CARIBBEAN ECONOMIES IN A GLOBAL ENVIRONMENT,4,40,explain the benefits and costs derived from the participation of CARICOM countries in preferential trade arrangements;,high,23,Practice Questions\Kerwin Springer\S08_Obj4_Preferential Trade Arrangements and Benefits - Kerwin Springer MCQ Practice.md,Economics\Practice Questions\Kerwin Springer\S08_Obj4_Preferential Trade Arrangements and Benefits - Kerwin Springer MCQ Practice.md
Economics,SECTION 8: CARIBBEAN ECONOMIES IN A GLOBAL ENVIRONMENT,5,41,"discuss the benefits to be derived from the Caribbean Single Market and Economy (CSME); and,",high,21,Practice Questions\Kerwin Springer\S08_Obj5_Caribbean Single Market and Economy Benefits - Kerwin Springer MCQ Practice.md,Economics\Practice Questions\Kerwin Springer\S08_Obj5_Caribbean Single Market and Economy Benefits - Kerwin Springer MCQ Practice.md
Economics,SECTION 8: CARIBBEAN ECONOMIES IN A GLOBAL ENVIRONMENT,6,41,"discuss the concepts, principles, approaches, and issues associated with e-commerce.",high,16,Practice Questions\Kerwin Springer\S08_Obj6_E-commerce Concepts Principles and Issues - Kerwin Springer MCQ Practice.md,Economics\Practice Questions\Kerwin Springer\S08_Obj6_E-commerce Concepts Principles and Issues - Kerwin Springer MCQ Practice.md
English A,MODULE 1: INFORMATIVE DISCOURSE,1,25,"explain meaning conveyed through word choice and grammar, punctuation and paragraphing;",medium,5,Practice Questions\Kerwin Springer\CSEC English A MCQ Question Bank - Kerwin Springer.json,English A\Practice Questions\Kerwin Springer\CSEC English A MCQ Question Bank - Kerwin Springer.json
English A,MODULE 1: INFORMATIVE DISCOURSE,1,30,"use appropriate diction, grammatical forms and suitable punctuation and paragraphing to convey meaning with clarity and",medium,8,Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md,English A\Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md
English A,MODULE 1: INFORMATIVE DISCOURSE,1,32,create suitable paragraphs to convey meaning with clarity and with facility;,medium,6,Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md,English A\Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md
English A,MODULE 2: LITERARY DISCOURSE,1,39,"explain meaning conveyed through word choice and grammar, punctuation and paragraphing;",medium,5,Practice Questions\Kerwin Springer\CSEC English A MCQ Question Bank - Kerwin Springer.json,English A\Practice Questions\Kerwin Springer\CSEC English A MCQ Question Bank - Kerwin Springer.json
English A,MODULE 2: LITERARY DISCOURSE,1,50,create suitable paragraphs to convey meaning with clarity and with facility;,medium,6,Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md,English A\Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md
English A,MODULE 2: LITERARY DISCOURSE,5,52,analyse how various contexts influence literature;,low,4,Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md,English A\Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md
English A,MODULE 2: LITERARY DISCOURSE,6,52,create a variety of personal responses to literary texts;,medium,7,Notes\ChromeStudy\Viewing and Representing Speaking Component.md,English A\Notes\ChromeStudy\Viewing and Representing Speaking Component.md
English A,MODULE 3: PERSUASIVE DISCOURSE,1,61,"use appropriate diction, grammatical forms and suitable punctuation and paragraphing to convey meaning with clarity and",medium,8,Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md,English A\Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md
English A,MODULE 3: PERSUASIVE DISCOURSE,1,64,create suitable paragraphs to convey meaning with clarity and with facility;,medium,6,Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md,English A\Notes\ChromeStudy\CXCCSEC English A Analysis of Language Use.md
Information Technology,SECTION 1: COMPUTER FUNDAMENTALS AND INFORMATION,1,12,explain the concept of Information Technology;,high,10,Notes\CSEC Hub\Computer Security Fundamentals Concepts and Principles.md,Information Technology\Notes\CSEC Hub\Computer Security Fundamentals Concepts and Principles.md
Information Technology,SECTION 1: COMPUTER FUNDAMENTALS AND INFORMATION,2,12,"distinguish among the major types of computer systems in terms of processing speed, storage and portability;",high,13,"Notes\CSEC Hub\The Computer System Input, Process, Output, and Storage Explained Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.c.md","Information Technology\Notes\CSEC Hub\The Computer System Input, Process, Output, and Storage Explained Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.c.md"
Information Technology,SECTION 1: COMPUTER FUNDAMENTALS AND INFORMATION,3,12,explain the functions of the major hardware components of a computer system;,high,13,"Notes\CSEC Hub\The Computer System Input, Process, Output, and Storage Explained Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.c.md","Information Technology\Notes\CSEC Hub\The Computer System Input, Process, Output, and Storage Explained Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.c.md"
Information Technology,SECTION 1: COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,4,13,explain how the major hardware components of a computer system interrelate;,high,18,Notes\CSEC Hub\The IPOS Cycle How Computer Components Interrelate.md,Information Technology\Notes\CSEC Hub\The IPOS Cycle How Computer Components Interrelate.md
Information Technology,SECTION 1: COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,5,13,evaluate the relative merits of cloud storage and local storage;,high,17,Notes\CSEC Hub\Cloud Storage vs Local Storage A Comparative Analysis.md,Information Technology\Notes\CSEC Hub\Cloud Storage vs Local Storage A Comparative Analysis.md
Information Technology,SECTION 1: COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,11,14,distinguish between data and information;,high,13,"Notes\CSEC Hub\Understanding Data Processing From Data to Information Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md","Information Technology\Notes\CSEC Hub\Understanding Data Processing From Data to Information Study Guides, Practice Questions & Past Papers for CSEC Subjects CSECHub.com.md"
Information Technology,SECTION 1: COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,9,14,evaluate the suitability of a given computer system for a specific purpose;,high,12,"Notes\CSEC Hub\Types of Computer Processing A Guide to Multitasking and Processing Modes Study Guides, Practice Questions & Past Papers for CSEC Subjects C.md","Information Technology\Notes\CSEC Hub\Types of Computer Processing A Guide to Multitasking and Processing Modes Study Guides, Practice Questions & Past Papers for CSEC Subjects C.md"
Information Technology,SECTION 1: COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,12,15,evaluate the reliability of information obtained from online sources;,high,13,"Notes\CSEC Hub\Types of Computer Processing A Guide to Multitasking and Processing Modes Study Guides, Practice Questions & Past Papers for CSEC Subjects C.md","Information Technology\Notes\CSEC Hub\Types of Computer Processing A Guide to Multitasking and Processing Modes Study Guides, Practice Questions & Past Papers for CSEC Subjects C.md"
Information Technology,SECTION 1: COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,13,15,differentiate between validation and verification of data;,high,19,Notes\CSEC Hub\Data Validation and Verification Methods and Techniques.md,Information Technology\Notes\CSEC Hub\Data Validation and Verification Methods and Techniques.md
Information Technology,SECTION 1: COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,14,15,"identify appropriate validation and verification checks given a particular scenario; and,",high,16,Notes\CSEC Hub\Data Validation and Verification Methods and Techniques.md,Information Technology\Notes\CSEC Hub\Data Validation and Verification Methods and Techniques.md
Information Technology,SECTION 1: COMPUTER FUNDAMENTALS AND INFORMATION PROCESSING,15,15,select appropriate file organization for particular application.,high,13,"Notes\CSEC Hub\File Organization Methods Sequential, Serial, Direct and Random.md","Information Technology\Notes\CSEC Hub\File Organization Methods Sequential, Serial, Direct and Random.md"
Information Technology,SECTION 2: COMPUTER NETWORKS AND WEB TECHNOLOGIES,1,17,distinguish among types of networks;,high,11,"Notes\CSEC Hub\Types of Computer Networks LAN, MAN, WAN.md","Information Technology\Notes\CSEC Hub\Types of Computer Networks LAN, MAN, WAN.md"
Information Technology,SECTION 2: COMPUTER NETWORKS AND WEB TECHNOLOGIES,2,17,explain the functions of the basic components of a network;,high,13,"Notes\CSEC Hub\Network Components Routers, Switches, Modems and NICs.md","Information Technology\Notes\CSEC Hub\Network Components Routers, Switches, Modems and NICs.md"
Information Technology,SECTION 2: COMPUTER NETWORKS AND WEB TECHNOLOGIES,3,18,"assess the importance of mobile communication technologies as a component of modern communication networks; and,",high,12,Notes\CSEC Hub\Mobile Networks From 2G to 5G Technology.md,Information Technology\Notes\CSEC Hub\Mobile Networks From 2G to 5G Technology.md
Information Technology,SECTION 2: COMPUTER NETWORKS AND WEB TECHNOLOGIES,4,18,explain the interrelationship among key Web technology concepts.,high,11,Notes\CSEC Hub\Computer Security Fundamentals Concepts and Principles.md,Information Technology\Notes\CSEC Hub\Computer Security Fundamentals Concepts and Principles.md
Information Technology,SECTION 3: SOCIAL AND ECONOMIC IMPACT OF INFORMATION AND,1,19,"outline the concepts of computer security, cybersecurity and computer misuse;",high,16,Notes\CSEC Hub\Computer Security Fundamentals Concepts and Principles.md,Information Technology\Notes\CSEC Hub\Computer Security Fundamentals Concepts and Principles.md
